Date,Temp,consumption,Month
202101,16.05332727,22130296,1
202102,17.24469091,21555412,2
202103,19.185,20619129,3
202104,23.82452727,18380357,4
202105,24.43057273,18087914,5
202106,29.43877273,15671242,6
202107,29.78095455,15506125,7
202108,28.99228182,15886693,8
202109,29.01296364,15876713,9
202110,25.13839091,17746362,10
202111,21.02932727,19729162,11
202112,16.84795455,21746854,12
202201,15.35537273,22467089,1
202202,16.38,21972662,2
202203,18.64768182,20878408,3
202204,22.48996364,19024342,4
202205,25.19555455,17718778,5
202206,28.92132727,15920932,6
202207,30.45208182,15182277,7
202208,30.48941818,15164260,8
202209,28.164,16286375,9
202210,24.19712727,18200562,10
202211,21.77975455,19367048,11
202212,19.6641,20387943,12
202301,16.60563636,21863783,1
202302,17.8387,21268777,2
202303,20.59611818,19938204,3
202304,22.50327273,19017920,4
202305,26.09078182,17286792,5
202306,29.65493636,15566934,6
202307,30.8383,14995910,7
202308,30.43794545,15189098,8
202309,29.25727273,15758824,9
202310,24.23465455,18182453,10
202311,20.41018182,20027926,11
202312,19.82149091,20311995,12
202401,17.83204545,21271988,1
202402,16.29655455,22012928,2
202403,19.03099091,20693445,3
202404,21.05308182,19717699,4
202405,24.41027273,18097710,5
202406,28.82253636,15968603,6
202407,29.23649091,15768852,7
202408,29.74914545,15521474,8
202409,28.72818182,16014133,9
202410,25.05816364,17785075,10
202411,21.31079091,19593343,11
202412,18.56226364,20919626,12
202501,15.78057273,22261912,1
202502,16.03046364,22141329,2
202503,18.87716364,20767673,3
202504,21.77595455,19368882,4
202505,23.93976364,18324751,5
202506,28.74320909,16006882,6
202507,30.33431818,15239103,7
202508,30.95323636,14940448,8
202509,28.76534545,15996200,9
202510,24.76788182,17925148,10
202511,22.45046364,19043402,11
202512,16.48357273,21922684,12
202601,15.9322,22188745,1
202602,17.75164545,21310784,2
202603,17.47378182,21444865,3
202604,21.93606364,19291622,4
202605,25.28525455,17675493,5
202606,27.98102727,16374667,6
202607,30.44476364,15185808,7
202608,30.60977273,15106184,8
202609,29.72302727,15534077,9
202610,25.63242727,17507968,10
202611,21.755,19378993,11
202612,17.76278182,21305410,12
202701,15.90607273,22201353,1
202702,16.18934545,22064661,2
202703,18.02444545,21179146,3
202704,24.37592727,18114283,4
202705,27.13983636,16780578,5
202706,28.92603636,15918660,6
202707,29.6503,15569171,7
202708,29.75367273,15519289,8
202709,28.71139091,16022235,9
