Date,Temp,consumption,Month
202101,16.80869091,21765800,1
202102,17.34263636,21508149,2
202103,19.18199091,20620581,3
202104,23.45103636,18560583,4
202105,26.62053636,17031163,5
202106,28.85189091,15954438,6
202107,30.43294545,15191511,7
202108,30.44832727,15184089,8
202109,28.93651818,15913602,9
202110,25.85857273,17398843,10
202111,21.65591818,19426805,11
202112,16.54823636,21891481,12
202201,16.10209091,22106765,1
202202,16.0483,22132722,2
202203,18.00561818,21188231,3
202204,20.56176364,19954781,4
202205,26.53594545,17071981,5
202206,28.28958182,16225776,6
202207,30.74135455,15042690,7
202208,31.32467273,14761214,8
202209,29.35425455,15712026,9
202210,24.80963636,17905000,10
202211,22.50806364,19015608,11
202212,19.72006364,20360938,12
202301,13.91325455,23162973,1
202302,16.51517273,21907436,2
202303,17.71886364,21326603,3
202304,23.41760909,18576713,4
202305,26.54978182,17065305,5
202306,28.43229091,16156913,6
202307,31.83673636,14514121,7
202308,31.41892727,14715732,8
202309,29.08596364,15841488,9
202310,26.92823636,16882684,10
202311,21.50829091,19498041,11
202312,18.38357273,21005852,12
202401,14.30675455,22973092,1
202402,15.41995455,22435925,2
202403,19.40984545,20510631,3
202404,21.22986364,19632394,4
202405,23.94521818,18322119,5
202406,29.59226364,15597176,6
202407,30.47939091,15169099,7
202408,30.77187273,15027964,8
202409,29.71459091,15538148,9
202410,23.60939091,18484170,10
202411,22.53691818,19001684,11
202412,20.16618182,20145666,12
202501,14.51992727,22870227,1
202502,20.00054545,20225593,2
202503,20.88748182,19797608,3
202504,25.31540909,17660943,4
202505,27.55278182,16581314,5
202506,30.27624545,15267125,6
202507,31.88447273,14491087,7
202508,31.69911818,14580528,8
202509,28.4854,16131286,9
202510,25.33216364,17652858,10
202511,21.28338182,19606569,11
202512,18.77480909,20817064,12
202601,17.80194545,21286512,1
202602,18.44542727,20976005,2
202603,21.52737273,19488833,3
202604,22.83905455,18855890,4
202605,27.37509091,16667057,5
202606,29.86879091,15463740,6
202607,31.97284545,14448443,7
202608,31.25712727,14793808,8
202609,30.64267273,15090309,9
202610,25.37526364,17632060,10
202611,20.67332727,19900947,11
202612,17.88332727,21247242,12
202701,17.89289091,21242627,1
202702,16.63265455,21850746,2
202703,19.28331818,20571686,3
202704,22.11448182,19205528,4
202705,26.09534545,17284590,5
202706,28.67931818,16037712,6
202707,31.42908182,14710832,7
202708,31.61900909,14619184,8
202709,29.54917273,15617969,9
202710,24.81208182,17903820,10
