,月別,產品/業務,單營收(億),單佔比(%),單月增(%),單年增(%),累營收(億),累佔比(%),累年增(%)
338,2018/02,裝置收入,0.356,9.91,-20.4,+2.65,0.803,10.9,+2.24
339,2018/02,租金收入,0.223,6.23,-4.35,+14.6,0.457,6.23,+10.1
340,2018/02,通信收入,0.0664,1.85,-6.42,-14.9,0.137,1.87,-19.8
341,2018/02,器具收入,0.0335,0.93,-19.2,+31.6,0.075,1.02,+56.7
342,2018/02,其他收入,0.0082,0.23,-42.3,-,0.0223,0.3,-
343,2018/02,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
344,2018/02,業務營收淨額,3.59,100.0,-4.24,+16.3,7.34,100,+14.6
345,2018/01,瓦斯收入,2.94,78.5,+1.58,+16.4,2.94,78.5,+16.4
346,2018/01,裝置收入,0.447,11.9,+57.7,+1.92,0.447,11.9,+1.92
347,2018/01,租金收入,0.234,6.24,-1.14,+6.19,0.234,6.24,+6.19
348,2018/01,通信收入,0.071,1.89,-11.9,-23.8,0.071,1.89,-23.8
349,2018/01,器具收入,0.0415,1.11,+10.8,+85.2,0.0415,1.11,+85.2
350,2018/01,其他收入,0.0142,0.38,+19.3,-,0.0142,0.38,-
351,2018/01,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
352,2018/01,業務營收淨額,3.75,100.0,+5.73,+13.1,3.75,100,+13.1
353,2017/12,瓦斯收入,2.89,81.7,+13.5,+20.3,28.54,77.1,+7.24
354,2017/12,裝置收入,0.283,8.0,-39.7,-11.1,4.24,11.5,-3.01
355,2017/12,租金收入,0.236,6.67,+3.44,+3.32,2.68,7.23,+0.26
356,2017/12,通信收入,0.0806,2.27,+19.2,-2.3,1.15,3.09,+15.6
357,2017/12,器具收入,0.0375,1.06,+25.4,+53.9,0.311,0.84,+0.59
358,2017/12,其他收入,0.0119,0.33,+30.2,-,-,-,-
359,2017/12,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
360,2017/12,業務營收淨額,3.54,100.0,+5.66,+15.5,37.04,100,+5.45
361,2017/11,瓦斯收入,2.55,76.0,+15.9,+21.3,25.65,76.6,+5.94
362,2017/11,裝置收入,0.47,14.0,+60.8,+34.1,3.96,11.8,-2.38
363,2017/11,租金收入,0.228,6.81,+4.12,+2.13,2.44,7.29,-0.03
364,2017/11,通信收入,0.0676,2.02,-12.7,-3.54,1.06,3.18,+17.2
365,2017/11,器具收入,0.0299,0.89,+2.89,+21.4,0.274,0.82,-3.96
366,2017/11,其他收入,0.0091,0.27,+12.9,-,-,-,-
367,2017/11,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
368,2017/11,業務營收淨額,3.35,100.0,+18.7,+20.7,33.49,100,+4.49
369,2017/10,瓦斯收入,2.2,77.8,+12.2,+17.8,23.1,76.6,+4.47
370,2017/10,裝置收入,0.292,10.3,+2.78,+19.3,3.49,11.6,-5.83
371,2017/10,租金收入,0.219,7.76,-1.5,+0.8,2.21,7.35,-0.25
372,2017/10,通信收入,0.0775,2.74,-4.06,-2.87,0.997,3.31,+18.9
373,2017/10,器具收入,0.0291,1.03,+20.1,+36.6,0.244,0.81,-6.36
374,2017/10,其他收入,0.0081,0.29,-15.7,-,-,-,-
375,2017/10,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
376,2017/10,業務營收淨額,2.83,100.0,+9.44,+15.8,30.14,100,+2.95
377,2017/09,瓦斯收入,1.96,75.9,-2.11,+8.58,20.9,76.5,+3.25
378,2017/09,裝置收入,0.284,11.0,-30.3,-18.2,3.2,11.7,-7.6
379,2017/09,租金收入,0.223,8.63,-2.77,+3.96,1.99,7.3,-0.36
380,2017/09,通信收入,0.0808,3.13,-11,-1.05,0.92,3.37,+21.2
381,2017/09,器具收入,0.0242,0.94,+1.81,-10,0.215,0.79,-10.2
382,2017/09,其他收入,0.0096,0.37,+19,-,-,-,-
383,2017/09,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
384,2017/09,業務營收淨額,2.58,100.0,-6.52,+1.96,27.31,100,+1.78
385,2017/08,瓦斯收入,2.0,72.5,-3.25,+8.29,18.94,76.6,+2.72
386,2017/08,裝置收入,0.408,14.8,+16.1,+13.1,2.91,11.8,-6.42
387,2017/08,租金收入,0.229,8.29,-2.29,+4.17,1.77,7.17,-0.88
388,2017/08,通信收入,0.0908,3.28,-55.4,-0.97,0.839,3.39,+23.9
389,2017/08,器具收入,0.0238,0.86,+0.76,-23.8,0.191,0.77,-10.2
390,2017/08,其他收入,0.008,0.29,-39.5,-,-,-,-
391,2017/08,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
392,2017/08,業務營收淨額,2.76,100.0,-4.63,+7.87,24.73,100,+1.76
393,2017/07,瓦斯收入,2.07,71.5,-4.53,+7.61,16.94,77.1,+2.1
394,2017/07,裝置收入,0.351,12.1,+13.5,-8.58,2.5,11.4,-8.98
395,2017/07,租金收入,0.234,8.09,+4.83,+0.6,1.54,7.02,-1.59
396,2017/07,通信收入,0.204,7.03,+99.2,+157.4,0.748,3.41,+27.8
397,2017/07,器具收入,0.0236,0.81,+13.6,-0.72,0.167,0.76,-7.85
398,2017/07,其他收入,0.0133,0.46,-,-,-,-,-
399,2017/07,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
400,2017/07,業務營收淨額,2.9,100.0,+2.26,+9.16,21.97,100,+1.04
401,2017/06,瓦斯收入,2.17,76.6,-10.1,+17.5,14.87,78,+1.38
402,2017/06,裝置收入,0.309,10.9,-4.92,-29.4,2.15,11.3,-9.05
403,2017/06,租金收入,0.224,7.9,+1.12,+0.68,1.31,6.86,-1.97
404,2017/06,通信收入,0.102,3.61,+17.9,+25.2,0.545,2.86,+7.52
405,2017/06,器具收入,0.0208,0.73,+3.96,-20.4,0.143,0.75,-8.93
406,2017/06,其他,0.008,0.28,-10.9,+1.91,0.0564,0.3,-4.47
407,2017/06,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
408,2017/06,業務營收淨額,2.83,100.0,-7.84,+8.07,19.07,100,-0.09
409,2017/05,瓦斯收入,2.41,78.5,-5.22,+13,12.7,78.2,-0.94
410,2017/05,裝置收入,0.325,10.6,-14.3,-37.4,1.84,11.3,-4.43
411,2017/05,租金收入,0.221,7.2,-0.83,-0.2,1.08,6.68,-2.5
412,2017/05,通信收入,0.0867,2.82,-6.04,+11.2,0.443,2.73,+4.12
413,2017/05,器具收入,0.02,0.65,-29.8,-1.48,0.122,0.75,-6.65
414,2017/05,其他,0.009,0.29,+5.89,-45.7,0.0483,0.3,-5.46
415,2017/05,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
416,2017/05,業務營收淨額,3.07,100.0,-6.18,+2.78,16.24,100,-1.39
417,2017/04,瓦斯收入,2.54,77.7,-8.5,+10.1,10.28,78.1,-3.73
418,2017/04,裝置收入,0.38,11.6,+7.72,+6.8,1.52,11.5,+7.76
419,2017/04,租金收入,0.223,6.81,-0.95,-1.96,0.863,6.56,-3.07
420,2017/04,通信收入,0.0923,2.82,+0.01,+0.94,0.356,2.7,+2.53
421,2017/04,器具收入,0.0284,0.87,+8.63,-2.03,0.103,0.78,-7.59
422,2017/04,其他,0.0085,0.26,-5.25,+1.8,0.0394,0.3,+13.8
423,2017/04,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
424,2017/04,業務營收淨額,3.28,100.0,-6.01,+8.39,13.16,100,-2.31
425,2017/03,瓦斯收入,2.78,79.8,+14.3,+1.48,7.74,78.3,-7.55
426,2017/03,裝置收入,0.352,10.1,+1.7,-16.3,1.14,11.5,+8.08
427,2017/03,租金收入,0.225,6.46,+15.5,+0.36,0.64,6.48,-3.45
428,2017/03,通信收入,0.0923,2.65,+18.2,+17.4,0.264,2.67,+3.1
429,2017/03,器具收入,0.0262,0.75,+2.79,+10.7,0.0741,0.75,-9.56
430,2017/03,其他,0.009,0.26,+12.4,+1.59,0.0309,0.31,+17.6
431,2017/03,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
432,2017/03,業務營收淨額,3.49,100.0,+13,-0.32,9.89,100,-5.41
433,2017/02,瓦斯收入,2.43,78.8,-3.64,-9.21,4.96,77.5,-11.9
434,2017/02,裝置收入,0.347,11.2,-21,+14.9,0.785,12.3,+24.4
435,2017/02,租金收入,0.195,6.32,-11.4,-8.52,0.415,6.49,-5.4
436,2017/02,通信收入,0.0781,2.53,-16.3,-9.94,0.171,2.68,-3.23
437,2017/02,器具收入,0.0255,0.83,+13.7,+5.12,0.0479,0.75,-17.8
438,2017/02,其他,0.008,0.26,-42.8,-2.69,0.0219,0.34,+25.7
439,2017/02,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
440,2017/02,業務營收淨額,3.09,100.0,-6.85,-6.87,6.4,100,-7.97
441,2017/01,瓦斯收入,2.53,76.2,+4.94,-14.4,2.53,76.2,-14.4
442,2017/01,裝置收入,0.439,13.2,+37.6,+33,0.439,13.2,+33
443,2017/01,租金收入,0.22,6.64,-3.81,-2.46,0.22,6.64,-2.46
444,2017/01,通信收入,0.0932,2.81,+13,+3.21,0.0932,2.81,+3.21
445,2017/01,器具收入,0.0224,0.68,-7.97,-34.1,0.0224,0.68,-34.1
446,2017/01,其他,0.0139,0.42,+75.6,+50.9,0.0139,0.42,+50.9
447,2017/01,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
448,2017/01,業務營收淨額,3.31,100.0,+7.97,-8.97,3.31,100,-8.97
449,2016/12,瓦斯收入,2.41,78.4,+14.5,-13,26.62,75.8,-18.8
450,2016/12,裝置收入,0.319,10.4,-9,-13.7,4.37,12.4,+3.51
451,2016/12,租金收入,0.229,7.45,+2.25,+0.02,2.67,7.61,+0.79
452,2016/12,通信收入,0.0825,2.69,+17.7,-14.9,0.991,2.82,-14.3
453,2016/12,器具收入,0.0244,0.79,-1.14,-29.2,0.309,0.88,-16.1
454,2016/12,其他,0.0079,0.26,-10.9,+164.7,0.158,0.45,+25.2
455,2016/12,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
456,2016/12,業務營收淨額,3.07,100.0,+10.4,-12.3,35.12,100,-15
457,2016/11,瓦斯收入,2.1,75.6,+12.5,-8.44,24.21,75.5,-19.3
458,2016/11,裝置收入,0.35,12.6,+43,-7.74,4.05,12.6,+5.16
459,2016/11,租金收入,0.224,8.05,+2.76,+0.84,2.44,7.62,+0.86
460,2016/11,通信收入,0.0701,2.52,-12.1,-31.5,0.909,2.84,-14.3
461,2016/11,器具收入,0.0246,0.89,+15.8,+0.82,0.285,0.89,-14.8
462,2016/11,其他,0.0089,0.32,+5.95,-43.1,0.15,0.47,+21.8
463,2016/11,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
464,2016/11,業務營收淨額,2.78,100.0,+13.9,-8.56,32.05,100,-15.2
465,2016/10,瓦斯收入,1.87,76.6,+3.42,-18.5,22.11,75.5,-20.2
466,2016/10,裝置收入,0.245,10.0,-29.5,-41,3.7,12.7,+6.57
467,2016/10,租金收入,0.218,8.92,+1.58,-0.77,2.22,7.58,+0.86
468,2016/10,通信收入,0.0798,3.27,-2.27,-13.6,0.839,2.87,-12.4
469,2016/10,器具收入,0.0213,0.87,-20.9,-26.6,0.26,0.89,-16
470,2016/10,其他,0.0084,0.34,-85.1,-29,0.141,0.48,+31.2
471,2016/10,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
472,2016/10,業務營收淨額,2.44,100.0,-3.67,-20.2,29.27,100,-15.8
473,2016/09,瓦斯收入,1.81,71.3,-2.37,-15.6,20.24,75.4,-20.4
474,2016/09,裝置收入,0.348,13.7,-3.6,-0.35,3.46,12.9,+13
475,2016/09,租金收入,0.214,8.46,-2.56,-1.86,2,7.46,+1.04
476,2016/09,通信收入,0.0816,3.22,-10.9,-20.1,0.759,2.83,-12.3
477,2016/09,器具收入,0.0269,1.06,-13.8,+11.9,0.239,0.89,-14.9
478,2016/09,其他,0.0566,2.23,+617.5,+234.4,0.133,0.5,+38.7
479,2016/09,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
480,2016/09,業務營收淨額,2.53,100.0,-1.1,-11.1,26.83,100,-15.4
481,2016/08,瓦斯收入,1.85,72.2,-3.86,-17.8,18.44,75.9,-20.8
482,2016/08,裝置收入,0.361,14.1,-6.17,+13.5,3.11,12.8,+14.7
483,2016/08,租金收入,0.22,8.59,-5.65,-0.4,1.79,7.36,+1.4
484,2016/08,通信收入,0.0916,3.58,+15.8,-5.74,0.677,2.79,-11.3
485,2016/08,器具收入,0.0312,1.22,+31.4,+33.2,0.212,0.87,-17.5
486,2016/08,其他,0.0079,0.31,-15.8,-46.8,0.0763,0.31,-3.33
487,2016/08,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
488,2016/08,業務營收淨額,2.56,100.0,-3.49,-12.4,24.3,100,-15.8
489,2016/07,瓦斯收入,1.92,72.5,+4.27,-15.2,16.59,76.3,-21.2
490,2016/07,裝置收入,0.384,14.5,-12.3,-14.8,2.75,12.7,+14.9
491,2016/07,租金收入,0.233,8.78,+4.91,+3.25,1.57,7.21,+1.66
492,2016/07,通信收入,0.0791,2.98,-3.09,-20.5,0.586,2.69,-12.1
493,2016/07,器具收入,0.0238,0.89,-8.93,+19.5,0.181,0.83,-22.5
494,2016/07,其他,0.0094,0.35,+19.2,-5.73,0.0684,0.31,+6.74
495,2016/07,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
496,2016/07,業務營收淨額,2.65,100.0,+1.24,-13.7,21.74,100,-16.2
497,2016/06,瓦斯收入,1.85,70.4,-13.5,-17.4,14.66,76.8,-21.9
498,2016/06,裝置收入,0.438,16.7,-15.8,+18.5,2.37,12.4,+21.8
499,2016/06,租金收入,0.222,8.48,+0.24,+1.89,1.33,6.99,+1.39
500,2016/06,通信收入,0.0816,3.11,+4.71,-18.1,0.507,2.65,-10.6
501,2016/06,器具收入,0.0261,0.99,+28.7,-16.4,0.157,0.82,-26.4
502,2016/06,其他,0.0079,0.3,-52.5,-5.53,0.059,0.31,+9.04
503,2016/06,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
504,2016/06,業務營收淨額,2.62,100.0,-12.4,-11.5,19.09,100,-16.5
505,2016/05,瓦斯收入,2.13,71.4,-7.65,-25,12.82,77.8,-22.5
506,2016/05,裝置收入,0.52,17.4,+46.3,+32.6,1.93,11.7,+22.6
507,2016/05,租金收入,0.222,7.41,-2.58,+0.94,1.11,6.76,+1.29
508,2016/05,通信收入,0.078,2.61,-14.7,-17,0.425,2.58,-8.99
509,2016/05,器具收入,0.0203,0.68,-30.2,-34.2,0.131,0.8,-28.2
510,2016/05,其他,0.0166,0.55,+98.4,+75.5,0.0511,0.31,+11.7
511,2016/05,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
512,2016/05,業務營收淨額,2.99,100.0,-1.06,-16.7,16.46,100,-17.3
513,2016/04,瓦斯收入,2.31,76.5,-15.7,-25.3,10.68,79.3,-22
514,2016/04,裝置收入,0.355,11.8,-15.6,-3.88,1.41,10.4,+19.2
515,2016/04,租金收入,0.228,7.53,+1.39,+4.53,0.891,6.61,+1.37
516,2016/04,通信收入,0.0914,3.02,+16.3,-10.7,0.347,2.58,-6.98
517,2016/04,器具收入,0.029,0.96,+22.7,-33,0.111,0.82,-26.9
518,2016/04,其他,0.0083,0.28,-5.44,-5.23,0.0346,0.26,-4.87
519,2016/04,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
520,2016/04,業務營收淨額,3.02,100.0,-13.6,-21.2,13.47,100,-17.4
521,2016/03,瓦斯收入,2.74,78.4,+2.26,-21.8,8.37,80.1,-21
522,2016/03,裝置收入,0.421,12.0,+39.7,+43.9,1.05,10.1,+29.8
523,2016/03,租金收入,0.224,6.42,+5.27,+0.87,0.663,6.35,+0.33
524,2016/03,通信收入,0.0786,2.25,-9.32,-8.36,0.256,2.45,-5.56
525,2016/03,器具收入,0.0237,0.68,-2.39,-44.5,0.0819,0.78,-24.5
526,2016/03,其他,0.0088,0.25,+7.69,-6.27,0.0262,0.25,-4.75
527,2016/03,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
528,2016/03,業務營收淨額,3.5,100.0,+5.54,-15.9,10.45,100,-16.2
529,2016/02,瓦斯收入,2.68,80.9,-9.17,-19.4,5.63,81,-20.6
530,2016/02,裝置收入,0.301,9.1,-8.61,+35.5,0.631,9.08,+21.8
531,2016/02,租金收入,0.213,6.43,-5.5,+0.44,0.439,6.31,+0.06
532,2016/02,通信收入,0.0867,2.62,-4.02,-9.07,0.177,2.55,-4.26
533,2016/02,器具收入,0.0242,0.73,-28.7,+5.71,0.0582,0.84,-11.5
534,2016/02,其他,0.0082,0.25,-11.4,-1.09,0.0174,0.25,-3.97
535,2016/02,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
536,2016/02,業務營收淨額,3.31,100.0,-8.95,-14.7,6.95,100,-16.4
537,2016/01,瓦斯收入,2.95,81.1,+6.69,-21.8,2.95,81.1,-21.8
538,2016/01,裝置收入,0.33,9.06,-10.7,+11.5,0.33,9.06,+11.5
539,2016/01,租金收入,0.226,6.2,-1.37,-0.29,0.226,6.2,-0.29
540,2016/01,通信收入,0.0903,2.48,-6.8,+0.86,0.0903,2.48,+0.86
541,2016/01,器具收入,0.034,0.93,-1.1,-20.7,0.034,0.93,-20.7
542,2016/01,其他,0.0092,0.25,+208,-6.38,0.0092,0.25,-6.38
543,2016/01,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
544,2016/01,業務營收淨額,3.64,100.0,+4.05,-17.9,3.64,100,-17.9
545,2015/12,瓦斯收入,2.77,79.1,+20.5,-,32.78,79.4,-
546,2015/12,裝置收入,0.369,10.6,-2.73,-,4.22,10.2,-
547,2015/12,租金收入,0.229,6.54,+3.1,-,2.65,6.42,-
548,2015/12,通信收入,0.0969,2.77,-5.33,-,1.16,2.8,-
549,2015/12,器具收入,0.0344,0.98,+40.8,-,0.369,0.89,-
550,2015/12,其他,0.003,0.09,-80.8,-,0.126,0.31,-
551,2015/12,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
552,2015/12,業務營收淨額,3.5,100.0,+15.1,-,41.31,100,-
553,2015/11,瓦斯收入,2.29,75.5,+0.12,-,30.02,79.4,-
554,2015/11,裝置收入,0.38,12.5,-8.51,-,3.85,10.2,-
555,2015/11,租金收入,0.222,7.3,+1.12,-,2.42,6.41,-
556,2015/11,通信收入,0.102,3.37,+10.8,-,1.06,2.8,-
557,2015/11,器具收入,0.0244,0.8,-15.6,-,0.335,0.88,-
558,2015/11,其他,0.0157,0.52,+32.2,-,0.123,0.33,-
559,2015/11,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
560,2015/11,業務營收淨額,3.04,100.0,-0.68,-,37.81,100,-
561,2015/10,瓦斯收入,2.29,74.9,+7.15,-,27.72,79.7,-
562,2015/10,裝置收入,0.415,13.6,+19,-,3.48,9.99,-
563,2015/10,租金收入,0.219,7.17,+0.46,-,2.2,6.33,-
564,2015/10,通信收入,0.0924,3.02,-9.59,-,0.958,2.75,-
565,2015/10,器具收入,0.029,0.95,+20.6,-,0.31,0.89,-
566,2015/10,其他,0.0118,0.39,-30,-,0.108,0.31,-
567,2015/10,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
568,2015/10,業務營收淨額,3.06,100.0,+7.38,-,34.77,100,-
569,2015/09,瓦斯收入,2.14,75.1,-4.98,-,25.43,80.2,-
570,2015/09,裝置收入,0.349,12.2,+9.75,-,3.06,9.65,-
571,2015/09,租金收入,0.218,7.66,-1.11,-,1.98,6.25,-
572,2015/09,通信收入,0.102,3.59,+5.08,-,0.866,2.73,-
573,2015/09,器具收入,0.024,0.84,+2.52,-,0.281,0.89,-
574,2015/09,其他,0.0169,0.59,+14.1,-,0.0958,0.3,-
575,2015/09,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
576,2015/09,業務營收淨額,2.85,100.0,-2.59,-,31.71,100,-
577,2015/08,瓦斯收入,2.25,77.0,-0.76,-,23.29,80.7,-
578,2015/08,裝置收入,0.318,10.9,-29.5,-,2.71,9.39,-
579,2015/08,租金收入,0.221,7.55,-2.19,-,1.76,6.11,-
580,2015/08,通信收入,0.0972,3.32,-2.31,-,0.763,2.64,-
581,2015/08,器具收入,0.0234,0.8,+17.9,-,0.257,0.89,-
582,2015/08,其他,0.0148,0.51,+49.3,-,0.0789,0.27,-
583,2015/08,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
584,2015/08,業務營收淨額,2.93,100.0,-4.86,-,28.86,100,-
585,2015/07,瓦斯收入,2.27,73.8,+1.58,-,21.04,81.1,-
586,2015/07,裝置收入,0.451,14.7,+21.9,-,2.39,9.23,-
587,2015/07,租金收入,0.226,7.34,+3.53,-,1.54,5.94,-
588,2015/07,通信收入,0.0995,3.24,-0.12,-,0.666,2.57,-
589,2015/07,器具收入,0.0199,0.65,-36.3,-,0.234,0.9,-
590,2015/07,其他,0.0099,0.32,+19.5,-,0.064,0.25,-
591,2015/07,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
592,2015/07,業務營收淨額,3.07,100.0,+3.86,-,25.94,100,-
593,2015/06,瓦斯收入,2.23,75.4,-21.5,-,18.77,82.1,-
594,2015/06,裝置收入,0.37,12.5,-5.71,-,1.94,8.5,-
595,2015/06,租金收入,0.218,7.37,-0.69,-,1.32,5.76,-
596,2015/06,通信收入,0.0996,3.37,+6.06,-,0.567,2.48,-
597,2015/06,器具收入,0.0312,1.05,+1.3,-,0.214,0.94,-
598,2015/06,其他,0.0083,0.28,-11.8,-,0.0541,0.24,-
599,2015/06,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
600,2015/06,業務營收淨額,2.96,100.0,-17.6,-,22.86,100,-
601,2015/05,瓦斯收入,2.85,79.2,-7.99,-,16.54,83.1,-
602,2015/05,裝置收入,0.392,10.9,+6.09,-,1.57,7.9,-
603,2015/05,租金收入,0.22,6.11,+0.88,-,1.1,5.52,-
604,2015/05,通信收入,0.094,2.62,-8.24,-,0.467,2.35,-
605,2015/05,器具收入,0.0308,0.86,-29,-,0.183,0.92,-
606,2015/05,其他,0.0094,0.26,+7.16,-,0.0458,0.23,-
607,2015/05,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
608,2015/05,業務營收淨額,3.59,100.0,-6.34,-,19.9,100,-
609,2015/04,瓦斯收入,3.09,80.7,-11.7,-,13.69,83.9,-
610,2015/04,裝置收入,0.37,9.64,+26.4,-,1.18,7.24,-
611,2015/04,租金收入,0.218,5.68,-2.16,-,0.879,5.39,-
612,2015/04,通信收入,0.102,2.67,+19.4,-,0.373,2.29,-
613,2015/04,器具收入,0.0434,1.13,+1.64,-,0.152,0.93,-
614,2015/04,其他,0.0088,0.23,-6.48,-,0.0364,0.22,-
615,2015/04,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
616,2015/04,業務營收淨額,3.83,100.0,-7.74,-,16.31,100,-
617,2015/03,瓦斯收入,3.5,84.3,+5.4,-,10.6,84.9,-
618,2015/03,裝置收入,0.293,7.04,+31.5,-,0.811,6.5,-
619,2015/03,租金收入,0.222,5.35,+4.83,-,0.661,5.3,-
620,2015/03,通信收入,0.0858,2.06,-10,-,0.271,2.17,-
621,2015/03,器具收入,0.0427,1.03,+86,-,0.108,0.87,-
622,2015/03,其他,0.0094,0.23,+13.6,-,0.0276,0.22,-
623,2015/03,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
624,2015/03,業務營收淨額,4.16,100.0,+6.98,-,12.48,100,-
625,2015/02,瓦斯收入,3.32,85.6,-11.8,-,7.1,85.3,-
626,2015/02,裝置收入,0.222,5.73,-24.8,-,0.518,6.23,-
627,2015/02,租金收入,0.212,5.46,-6.19,-,0.438,5.27,-
628,2015/02,通信收入,0.0953,2.45,+6.47,-,0.185,2.22,-
629,2015/02,器具收入,0.0229,0.59,-46.5,-,0.0658,0.79,-
630,2015/02,其他,0.0083,0.21,-16.1,-,0.0182,0.22,-
631,2015/02,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
632,2015/02,業務營收淨額,3.89,100.0,-12.4,-,8.32,100,-
633,2015/01,瓦斯收入,3.77,85.0,-,-,3.77,85,-
634,2015/01,裝置收入,0.296,6.67,-,-,0.296,6.67,-
635,2015/01,租金收入,0.226,5.1,-,-,0.226,5.1,-
636,2015/01,通信收入,0.0896,2.02,-,-,0.0896,2.02,-
637,2015/01,器具收入,0.0429,0.97,-,-,0.0429,0.97,-
638,2015/01,其他,0.0099,0.22,-,-,0.0099,0.22,-
639,2015/01,銷貨退回及折讓,0.0,0.0,-,-,0,0,-
640,2015/01,業務營收淨額,4.44,100.0,-,-,4.44,100,-
641,2014/12,無申報資料,,,,,,,
642,2014/11,無申報資料,,,,,,,
643,2014/10,無申報資料,,,,,,,
644,2014/09,無申報資料,,,,,,,
645,2014/08,無申報資料,,,,,,,
646,2014/07,無申報資料,,,,,,,
647,2014/06,無申報資料,,,,,,,
648,2014/05,無申報資料,,,,,,,
649,2014/04,無申報資料,,,,,,,
650,2014/03,無申報資料,,,,,,,
651,2014/02,無申報資料,,,,,,,
652,2014/01,無申報資料,,,,,,,
653,2013/12,無申報資料,,,,,,,
654,2013/11,無申報資料,,,,,,,
655,2013/10,無申報資料,,,,,,,
656,2013/09,無申報資料,,,,,,,
657,2013/08,無申報資料,,,,,,,
658,2013/07,無申報資料,,,,,,,
659,2013/06,無申報資料,,,,,,,
660,2013/05,無申報資料,,,,,,,
661,2013/04,無申報資料,,,,,,,
662,2013/03,無申報資料,,,,,,,
663,2013/02,無申報資料,,,,,,,
664,2013/01,無申報資料,,,,,,,
665,2012/12,瓦斯收入,4.57,87.6,+18.4,+7.82,44.75,86.2,+11.2
666,2012/12,裝置收入,0.568,10.9,+8.8,+11.8,6.03,11.6,-13.9
667,2012/12,通信收入,0.0394,0.76,0,0,0.473,0.91,0
668,2012/12,器具收入,0.0313,0.6,-0.92,-30.2,0.426,0.82,+1.59
669,2012/12,其他,0.0138,0.26,+47.7,+67.9,0.266,0.51,+73.8
670,2012/12,銷貨退回及折讓,0.0079,-0.15,+295,+49.1,0.0568,-0.11,+28.7
671,2012/12,業務營收淨額,5.21,100.0,+16.9,+7.88,51.89,100,+7.5
672,2012/11,瓦斯收入,3.86,86.5,+6.78,+15.6,40.18,86.1,+11.5
673,2012/11,裝置收入,0.523,11.7,-2.44,-17.6,5.46,11.7,-15.9
674,2012/11,通信收入,0.0394,0.88,0,0,0.434,0.93,0
675,2012/11,器具收入,0.0316,0.71,-7.18,-28.7,0.395,0.85,+5.39
676,2012/11,其他,0.0093,0.21,+5.67,-72.7,0.252,0.54,+74.1
677,2012/11,銷貨退回及折讓,0.002,-0.04,-19.1,-61.7,0.049,-0.1,+26
678,2012/11,業務營收淨額,4.46,100.0,+5.45,+9.2,46.68,100,+7.46
679,2012/10,瓦斯收入,3.61,85.4,+13.7,+8.61,36.33,86,+11.1
680,2012/10,裝置收入,0.536,12.7,+5.02,-9.25,4.94,11.7,-15.8
681,2012/10,通信收入,0.0394,0.93,0,0,0.394,0.93,0
682,2012/10,器具收入,0.034,0.8,+8.83,+0.47,0.363,0.86,+9.96
683,2012/10,其他,0.0088,0.21,-85.1,+1.85,0.243,0.58,+119.3
684,2012/10,銷貨退回及折讓,0.0025,-0.06,-86.1,-20.6,0.047,-0.11,+39.5
685,2012/10,業務營收淨額,4.23,100.0,+11.3,+5.82,42.22,100,+7.28
686,2012/09,瓦斯收入,3.18,83.6,-2.38,+8.92,32.72,86.1,+11.4
687,2012/09,裝置收入,0.51,13.4,+91.4,-33.8,4.41,11.6,-16.5
688,2012/09,通信收入,0.0394,1.04,0,0,0.355,0.93,0
689,2012/09,器具收入,0.0312,0.82,-12.7,-14.2,0.329,0.87,+11
