Date,Temp,consumption,Month
202101,15.92003636,22194614,1
202102,19.36285455,20533306,2
202103,18.8122,20799021,3
202104,22.56412727,18988555,4
202105,26.21855455,17225136,5
202106,30.79442727,15017080,6
202107,30.79759091,15015554,7
202108,30.10788182,15348368,8
202109,28.97237273,15896300,9
202110,25.81164545,17421487,10
202111,21.61835455,19444931,11
202112,17.99320909,21194219,12
202201,17.64258182,21363412,1
202202,16.15878182,22079410,2
202203,18.27939091,21056124,3
202204,24.31030909,18145947,4
202205,27.96306364,16383335,5
202206,28.27799091,16231369,6
202207,30.46230909,15177342,7
202208,31.15002727,14845488,8
202209,29.23237273,15770839,9
202210,25.31102727,17663057,10
202211,21.14061818,19675459,11
202212,15.52860909,22383495,12
202301,17.01961818,21664019,1
202302,17.47267273,21445401,2
202303,18.8299,20790480,3
202304,25.41355455,17613583,4
202305,27.48776364,16612688,5
202306,28.09780909,16318315,6
202307,30.25764545,15276101,7
202308,29.39431818,15692693,8
202309,29.9744,15412779,9
202310,25.44555455,17598142,10
202311,21.3247,19586632,11
202312,19.35545455,20536877,12
202401,14.95335455,22661080,1
202402,16.83562727,21752802,2
202403,19.53796364,20448809,3
202404,22.67537273,18934874,4
202405,26.13535455,17265284,5
202406,28.5622,16094226,6
202407,29.45120909,15665241,7
202408,29.97830909,15410893,8
202409,29.06128182,15853398,9
202410,25.01540909,17805706,10
202411,22.29072727,19120482,11
202412,20.77259091,19853048,12
202501,16.88847273,21727302,1
202502,15.72518182,22288640,2
202503,19.5403,20447681,3
202504,22.82160909,18864309,4
202505,26.29744545,17187068,5
202506,28.27910909,16230830,6
202507,30.40939091,15202877,7
202508,30.98810909,14923621,8
202509,28.93040909,15916549,9
202510,24.84442727,17888212,10
202511,19.59188182,20422791,11
202512,18.16935455,21109222,12
202601,17.1751,21588992,1
202602,18.2742,21058629,2
202603,22.24132727,19144319,3
202604,23.75438182,18414206,4
202605,27.12723636,16786658,5
202606,28.69322727,16031000,6
202607,30.79742727,15015633,7
202608,30.75602727,15035610,8
202609,29.92638182,15435950,9
202610,27.59888182,16559069,10
202611,21.60611818,19450835,11
202612,19.11057273,20655043,12
202701,19.77147273,20336131,1
202702,16.89678182,21723293,2
202703,20.20925455,20124882,3
202704,21.66919091,19420400,4
202705,25.12071818,17754889,5
202706,28.111,16311950,6
202707,30.81302727,15008105,7
202708,30.40077273,15207036,8
202709,29.8891,15453940,9
202710,25.06346364,17782517,10
202711,21.10241818,19693892,11
202712,19.0303,20693778,12
202801,16.6101,21861629,1
202802,19.32414545,20551985,2
202803,21.60183636,19452901,3
202804,21.79759091,19358441,4
202805,26.03750909,17312498,5
202806,28.93754545,15913106,6
202807,31.58904545,14633643,7
202808,30.19169091,15307927,8
202809,29.1388,15815992,9
202810,25.72176364,17464859,10
202811,21.0188,19734242,11
202812,17.6085,21379858,12
202901,15.21730909,22533711,1
202902,14.46572727,22896381,2
202903,17.37167273,21494137,3
202904,22.8011,18874205,4
202905,25.71760909,17466864,5
202906,29.2273,15773287,6
202907,30.76156364,15032939,7
202908,29.28577273,15745071,8
202909,29.16061818,15805464,9
202910,24.89447273,17864063,10
202911,22.92543636,18814207,11
202912,17.27106364,21542686,12
203001,13.85421818,23191461,1
203002,15.52803636,22383771,2
203003,19.03837273,20689883,3
203004,23.47519091,18548927,4
203005,26.06376364,17299829,5
203006,29.31476364,15731082,6
203007,29.73154545,15529967,7
203008,29.81598182,15489223,8
203009,28.47489091,16136357,9
203010,26.48631818,17095929,10
203011,22.31758182,19107523,11
203012,23.09395455,18732890,12
203101,15.33260909,22478073,1
203102,15.26543636,22510487,2
203103,18.6713,20867011,3
203104,21.76305455,19375107,4
203105,25.38440909,17627647,5
203106,28.86742727,15946941,6
203107,30.35270909,15230228,7
203108,31.63131818,14613245,8
203109,28.36701818,16188410,9
203110,25.24093636,17696879,10
203111,20.73520909,19871086,11
203112,15.7214,22290465,12
203201,15.46460909,22414378,1
203202,17.19934545,21577293,2
203203,18.68049091,20862576,3
203204,23.29240909,18637127,4
203205,28.26360909,16238309,5
203206,29.67210909,15558647,6
203207,31.46067273,14695588,7
203208,31.40592727,14722005,8
203209,30.57807273,15121481,9
203210,23.69558182,18442579,10
203211,21.25953636,19618076,11
203212,16.40153636,21962270,12
203301,18.40863636,20993758,1
203302,18.74907273,20829483,2
203303,18.39298182,21001312,3
203304,23.30396364,18631552,4
203305,26.93535455,16879249,5
203306,28.79353636,15982596,6
203307,30.21150909,15298364,7
203308,30.61131818,15105438,8
203309,30.02637273,15387700,9
203310,24.96427273,17830381,10
203311,20.0162,20218039,11
203312,19.62996364,20404415,12
203401,17.00273636,21672165,1
203402,18.91220909,20750762,2
203403,21.17045455,19661062,3
203404,21.7168,19397426,4
203405,27.47006364,16621229,5
203406,28.66644545,16043923,6
203407,30.66245455,15080763,7
203408,30.84506364,14992646,8
203409,28.48635455,16130825,9
203410,25.46425455,17589118,10
203411,20.90471818,19789291,11
203412,19.97402727,20238389,12
203501,16.95564545,21694889,1
203502,15.8441,22231257,2
203503,18.30958182,21041556,3
203504,23.08292727,18738211,4
203505,27.22174545,16741053,5
203506,29.20152727,15785723,6
203507,30.48306364,15167327,7
203508,31.12308182,14858490,8
203509,29.6044,15591320,9
203510,26.18073636,17243385,10
203511,20.98489091,19750604,11
203512,17.13277273,21609417,12
203601,15.81177273,22246856,1
203602,17.71397273,21328963,2
203603,19.57004545,20433328,3
203604,19.83673636,20304638,4
203605,24.08757273,18253427,5
203606,27.75769091,16482437,6
203607,29.60844545,15589368,7
203608,29.35678182,15710806,8
203609,27.90961818,16409125,9
203610,23.66074545,18459389,10
203611,20.81433636,19832904,11
203612,20.00417273,20223843,12
203701,18.05810909,21162902,1
203702,14.97679091,22649771,2
203703,18.68765455,20859120,3
203704,21.90120909,19308441,4
203705,26.38619091,17144244,5
203706,28.75443636,16001464,6
203707,30.18386364,15311704,7
203708,31.36921818,14739719,8
203709,28.79365455,15982539,9
203710,24.03115455,18280651,10
203711,20.55967273,19955790,11
203712,18.31527273,21038810,12
203801,15.6653,22317536,1
203802,16.75463636,21791884,2
203803,20.49243636,19988235,3
203804,24.05085455,18271145,4
203805,28.1971,16270403,5
203806,28.79914545,15979890,6
203807,31.40725455,14721365,7
203808,31.57615455,14639863,8
203809,29.22899091,15772471,9
203810,25.36316364,17637899,10
203811,21.83420909,19340772,11
203812,17.99011818,21195711,12
203901,18.62061818,20891467,1
203902,17.34013636,21509355,2
203903,21.997,19262218,3
203904,23.80408182,18390223,4
203905,27.39130909,16659232,5
203906,29.10350909,15833021,6
203907,30.38554545,15214384,7
203908,29.60494545,15591057,8
203909,28.06876364,16332331,9
203910,27.36940909,16669799,10
203911,22.42115455,19057545,11
203912,18.13563636,21125492,12
204001,15.90661818,22201089,1
204002,16.2435,22038529,2
204003,19.30804545,20559754,3
204004,21.75838182,19377361,4
204005,25.26509091,17685223,5
204006,28.04187273,16345307,6
204007,30.56655455,15127039,7
204008,30.41901818,15198232,8
204009,28.44140909,16152513,9
204010,23.80667273,18388973,10
204011,21.86381818,19326484,11
204012,18.84842727,20781540,12
204101,17.87825455,21249690,1
204102,18.84180909,20784733,2
204103,20.27482727,20093240,3
204104,23.63260909,18472966,4
204105,28.84020909,15960075,5
204106,29.32669091,15725326,6
204107,31.18954545,14826419,7
204108,30.22308182,15292779,8
204109,28.9604,15902078,9
204110,25.37888182,17630314,10
204111,19.96244545,20243978,11
204112,20.53935455,19965595,12
204201,17.61956364,21374519,1
204202,15.84103636,22232735,2
204203,19.38830909,20521024,3
204204,23.28530909,18640553,4
204205,26.26183636,17204251,5
204206,29.75993636,15516267,6
204207,30.57576364,15122595,7
204208,29.91000909,15443850,8
204209,29.55198182,15616614,9
204210,25.57720909,17534613,10
204211,24.38042727,18112112,11
204212,18.92383636,20745152,12
204301,18.4822,20958260,1
204302,17.52727273,21419054,2
204303,18.85671818,20777539,3
204304,22.17223636,19177659,4
204305,24.86497273,17878298,5
204306,28.93621818,15913746,6
204307,30.01247273,15394407,7
204308,31.14038182,14850142,8
204309,30.09964545,15352343,9
204310,26.07973636,17292122,10
204311,21.53772727,19483837,11
204312,17.70586364,21332876,12
204401,15.47815455,22407841,1
204402,19.23398182,20595493,2
204403,19.42993636,20500937,3
204404,25.66610909,17491715,4
204405,29.54163636,15621606,5
204406,30.53933636,15140173,6
204407,31.47550909,14688429,7
204408,31.93442727,14466981,8
204409,30.18080909,15313178,9
204410,25.53602727,17554485,10
204411,21.77022727,19371645,11
204412,18.82292727,20793845,12
204501,14.15088182,23048308,1
204502,17.49640909,21433947,2
204503,17.76157273,21305994,3
204504,22.37692727,19078887,4
204505,27.64592727,16536367,5
204506,30.12079091,15342139,6
204507,31.61741818,14619952,7
204508,31.64852727,14604940,8
204509,29.88656364,15455164,9
204510,25.73821818,17456919,10
204511,23.10399091,18728047,11
204512,18.5907,20905904,12
204601,16.20823636,22055546,1
204602,15.96539091,22172729,2
204603,17.54518182,21410412,3
204604,23.93319091,18327922,4
204605,27.60517273,16556033,5
204606,29.71757273,15536709,6
204607,31.09438182,14872339,7
204608,31.73430909,14563547,8
204609,30.12077273,15342148,9
204610,27.86740909,16429493,10
204611,23.97535455,18307577,11
204612,17.78817273,21293158,12
204701,17.60052727,21383705,1
204702,17.24207273,21556675,2
204703,21.02353636,19731956,3
204704,22.65387273,18945249,4
204705,28.525,16112177,5
204706,30.88132727,14975147,6
204707,31.51167273,14670979,7
204708,31.20060909,14821080,8
204709,29.64234545,15573010,9
204710,26.9092,16891870,10
204711,21.38202727,19558969,11
204712,19.69079091,20375063,12
204801,18.80130909,20804276,1
204802,20.05703636,20198334,2
204803,20.10518182,20175102,3
204804,23.22688182,18668747,4
204805,26.46614545,17105663,5
204806,30.13727273,15334186,6
204807,31.55738182,14648922,7
204808,31.44992727,14700773,8
204809,28.45552727,16145700,9
