Date,Temp,consumption,Month
203810,25.58154545,17532520,10
203811,23.15474545,18703556,11
203812,20.72909091,19874039,12
203901,16.32555455,21998935,1
203902,16.07027273,22122119,2
203903,19.39027273,20520076,3
203904,24.67999091,17967559,4
203905,26.14909091,17258655,5
203906,29.59500909,15595851,6
203907,31.52935455,14662446,7
203908,32.53829091,14175591,8
203909,30.18109091,15313042,9
203910,26.56903636,17056013,10
203911,22.61811818,18962502,11
203912,18.60680909,20898131,12
204001,19.4258,20502933,1
204002,17.18974545,21581925,2
204003,19.51954545,20457696,3
204004,24.16357273,18216753,4
204005,28.30025455,16220626,5
204006,30.84877273,14990856,6
204007,32.17289091,14351912,7
204008,31.84442727,14510410,8
204009,30.18218182,15312515,9
204010,26.05277273,17305133,10
204011,22.0712,19226413,11
204012,21.69674545,19407104,12
204101,16.50470909,21912485,1
204102,17.77257273,21300686,2
204103,19.02726364,20695244,3
204104,23.86870909,18359038,4
204105,26.82651818,16931767,5
204106,31.17945455,14831288,6
204107,32.06386364,14404523,7
204108,31.52428182,14664894,8
204109,29.50343636,15640039,9
204110,26.90984545,16891558,10
204111,22.38593636,19074539,11
204112,20.14962727,20153655,12
204201,16.09927273,22108125,1
204202,18.5328,20933844,2
204203,20.87658182,19802868,3
204204,22.02577273,19248334,4
204205,27.47349091,16619575,5
204206,29.54034545,15622229,6
204207,31.18145455,14830323,7
204208,30.53520909,15142164,8
204209,30.13011818,15337638,9
204210,25.13243636,17749235,10
204211,21.35135455,19573770,11
204212,20.00122727,20225264,12
204301,17.34507273,21506973,1
204302,14.79275455,22738577,2
204303,19.10729091,20656627,3
204304,22.46039091,19038612,4
204305,27.15451818,16773493,5
204306,30.21543636,15296469,6
204307,30.39216364,15211190,7
204308,30.03672727,15382703,8
204309,29.01616364,15875169,9
204310,23.89327273,18347185,10
204311,19.75716364,20343035,11
204312,18.18060909,21103791,12
204401,17.71705455,21327476,1
204402,18.2483,21071127,2
204403,18.6692,20868025,3
204404,23.78859091,18397698,4
204405,27.89220909,16417526,5
204406,30.61200909,15105105,6
204407,31.34391818,14751927,7
204408,31.44053636,14705305,8
204409,31.06485455,14886588,9
204410,27.60894545,16554213,10
204411,22.71438182,18916050,11
204412,19.19409091,20614742,12
204501,16.88192727,21730461,1
204502,16.21367273,22052922,2
204503,18.24527273,21072588,3
204504,23.77203636,18405686,4
204505,26.11247273,17276325,5
204506,30.56132727,15129561,6
204507,30.98693636,14924187,7
204508,30.95497273,14939610,8
204509,29.52265455,15630766,9
204510,26.36296364,17155452,10
204511,24.22713636,18186081,11
204512,16.28747273,22017311,12
204601,17.21428182,21570085,1
204602,16.88709091,21727969,2
204603,18.80008182,20804869,3
204604,23.0162,18770410,4
204605,28.34658182,16198271,5
204606,30.50254545,15157926,6
204607,31.14836364,14846291,7
204608,30.73227273,15047073,8
204609,29.62304545,15582323,9
204610,24.55601818,18027381,10
204611,18.78849091,20810462,11
204612,18.73503636,20836256,12
204701,14.62073636,22821583,1
204702,16.27779091,22021983,2
204703,18.98333636,20716440,3
204704,22.61789091,18962611,4
204705,25.57602727,17535183,5
204706,28.33090909,16205834,6
204707,31.79490909,14534305,7
204708,31.97815455,14445881,8
204709,30.53654545,15141520,9
204710,27.24445455,16730095,10
204711,25.40454545,17617930,11
204712,18.83104545,20789927,12
204801,16.82003636,21760326,1
204802,16.55350909,21888937,2
