Year,Consumption(year)
2021,222936259
2022,222570676
2023,219408616
2024,223364876
2025,223938414
2026,222304616
2027,221592415
2028,222239487
2029,218672298
2030,224206804
2031,221040778
2032,214924552
2033,222209545
2034,218697638
2035,218991950
2036,216951593
2037,219195285
2038,220380716
2039,216221748
2040,216665130
2041,219803150
2042,222741973
2043,219531899
2044,216565451
2045,212130709
2046,211373268
2047,217195764
2048,215735672
2049,211099706
2050,217933242
2051,213840977
2052,213273498
2053,210525999
2054,215834172
2055,216169684
2056,210050793
2057,211819767
2058,217406818
2059,215546758
2060,216444151
2061,212249098
2062,211666481
2063,209452733
2064,212037599
2065,213442881
2066,210798016
2067,212692057
2068,208065769
2069,206077899
2070,201593703
2071,206541516
2072,206811276
2073,207051397
2074,205225784
2075,208319814
2076,210190727
2077,210069183
2078,210519029
2079,201959906
2080,205760511
2081,209024853
2082,207675370
2083,206168248
2084,202759270
2085,204431901
2086,204862152
2087,207387058
2088,204756762
2089,206848217
2090,205223155
2091,203352077
2092,206343152
2093,204911461
2094,206314764
2095,201849987
2096,203033856
2097,199701785
2098,201320606
2099,197488946
2099,197488946
