Year,Consumption(year)
2021,219424671
2022,221042691
2023,216244316
2024,221113966
2025,224344039
2026,219623416
2027,216687746
2028,216072773
2029,219399042
2030,213289933
2031,214226909
2032,220140798
2033,215616989
2034,213629771
2035,216693314
2036,213176695
2037,216500047
2038,217844109
2039,216530920
2040,212084276
2041,214859716
2042,217193369
2043,222273824
2044,213615782
2045,218520950
2046,219379316
2047,217523292
2048,212662502
2049,217835564
2050,213468739
2051,215041420
2052,215863270
2053,214611059
2054,210839777
2055,218085306
2056,213904058
2057,215096311
2058,218044253
2059,216478096
2060,216717884
2061,215490915
2062,214564453
2063,215667110
2064,210834145
2065,216500934
2066,213914164
2067,212379419
2068,216600877
2069,213040771
2070,208615743
2071,210140814
2072,211245039
2073,212470874
2074,212449690
2075,217402288
2076,216608774
2077,213702161
2078,214331709
2079,215422284
2080,214327559
2081,216257572
2082,211403936
2083,215554724
2084,212621484
2085,212371681
2086,211679560
2087,211148673
2088,211700991
2089,213717338
2090,210953347
2091,218340120
2092,213006991
2093,208852380
2094,215680116
2095,216155237
2096,213041652
2097,211183817
2098,213425473
2099,212782746
2099,212782746
